Year,Géographie,Sexe,Value
2015,,,12.3
2016,,,11.0
2017,,,11.3
2018,,,10.3
2019,,,10.7
2015,Canada,Hommes,18.4
2015,Canada,Femmes,6.3
2015,Terre-Neuve-et-Labrador,Les deux sexes,11.9
2015,Terre-Neuve-et-Labrador,Hommes,19.2
2015,Terre-Neuve-et-Labrador,Femmes,4.8
2015,Île-du-Prince-Édouard,Les deux sexes,5.4
2015,Île-du-Prince-Édouard,Hommes,7.0
2015,Île-du-Prince-Édouard,Femmes,4.0
2015,Nouvelle-Écosse,Les deux sexes,13.4
2015,Nouvelle-Écosse,Hommes,22.5
2015,Nouvelle-Écosse,Femmes,4.6
2015,Nouveau-Brunswick,Les deux sexes,16.7
2015,Nouveau-Brunswick,Hommes,26.6
2015,Nouveau-Brunswick,Femmes,7.1
2015,Québec,Les deux sexes,13.9
2015,Québec,Hommes,20.7
2015,Québec,Femmes,7.2
2015,Ontario,Les deux sexes,9.8
2015,Ontario,Hommes,14.3
2015,Ontario,Femmes,5.4
2015,Manitoba,Les deux sexes,13.8
2015,Manitoba,Hommes,18.5
2015,Manitoba,Femmes,9.2
2015,Saskatchewan,Les deux sexes,14.1
2015,Saskatchewan,Hommes,22.6
2015,Saskatchewan,Femmes,5.3
2015,Alberta,Les deux sexes,15.8
2015,Alberta,Hommes,22.9
2015,Alberta,Femmes,8.4
2015,Colombie-Britannique,Les deux sexes,11.6
2015,Colombie-Britannique,Hommes,18.1
2015,Colombie-Britannique,Femmes,5.2
2015,Yukon,Les deux sexes,13.4
2015,Yukon,Hommes,26.4
2015,Yukon,Femmes,0.0
2015,Territoires du Nord-Ouest,Les deux sexes,20.4
2015,Territoires du Nord-Ouest,Hommes,39.9
2015,Territoires du Nord-Ouest,Femmes,0.0
2015,Nunavut,Les deux sexes,79.2
2015,Nunavut,Hommes,132.0
2015,Nunavut,Femmes,22.6
2016,Canada,Hommes,16.3
2016,Canada,Femmes,5.7
2016,Terre-Neuve-et-Labrador,Les deux sexes,13.8
2016,Terre-Neuve-et-Labrador,Hommes,21.0
2016,Terre-Neuve-et-Labrador,Femmes,6.7
2016,Île-du-Prince-Édouard,Les deux sexes,6.7
2016,Île-du-Prince-Édouard,Hommes,12.3
2016,Île-du-Prince-Édouard,Femmes,1.3
2016,Nouvelle-Écosse,Les deux sexes,13.2
2016,Nouvelle-Écosse,Hommes,20.9
2016,Nouvelle-Écosse,Femmes,5.8
2016,Nouveau-Brunswick,Les deux sexes,15.8
2016,Nouveau-Brunswick,Hommes,25.4
2016,Nouveau-Brunswick,Femmes,6.5
2016,Québec,Les deux sexes,9.4
2016,Québec,Hommes,14.4
2016,Québec,Femmes,4.4
2016,Ontario,Les deux sexes,9.8
2016,Ontario,Hommes,14.4
2016,Ontario,Femmes,5.3
2016,Manitoba,Les deux sexes,15.2
2016,Manitoba,Hommes,21.5
2016,Manitoba,Femmes,8.9
2016,Saskatchewan,Les deux sexes,15.7
2016,Saskatchewan,Hommes,21.9
2016,Saskatchewan,Femmes,9.3
2016,Alberta,Les deux sexes,13.9
2016,Alberta,Hommes,20.3
2016,Alberta,Femmes,7.4
2016,Colombie-Britannique,Les deux sexes,10.1
2016,Colombie-Britannique,Hommes,15.2
2016,Colombie-Britannique,Femmes,5.1
2016,Yukon,Les deux sexes,18.4
2016,Yukon,Hommes,25.8
2016,Yukon,Femmes,10.7
2016,Territoires du Nord-Ouest,Les deux sexes,26.9
2016,Territoires du Nord-Ouest,Hommes,35.0
2016,Territoires du Nord-Ouest,Femmes,18.4
2016,Nunavut,Les deux sexes,67.2
2016,Nunavut,Hommes,93.5
2016,Nunavut,Femmes,39.1
2017,Canada,Hommes,17.1
2017,Canada,Femmes,5.7
2017,Terre-Neuve-et-Labrador,Les deux sexes,17.4
2017,Terre-Neuve-et-Labrador,Hommes,26.9
2017,Terre-Neuve-et-Labrador,Femmes,8.2
